Name,Type,Price per night,Host,Rating,Reviews,City
Weisses Haus - Alpine View,"Alojamiento entero: piso en Beatenberg, Suiza",181,Anfitrión: Aurelija,"4,95",64,Bern
"Orange Apt., casco antiguo, a 3 minutos de la estación de tren de Berna.","Habitación en apartahotel en Bern, Suiza",249,Anfitrión: Kai,"4,82",233,Bern
Retiros ocultos | The Lohner,"Alojamiento entero: piso en Reichenbach im Kandertal, Suiza",595,Anfitrión: Wes,"4,96",24,Bern
bnb-Wabern,"Alojamiento entero: piso en Köniz, Suiza",130,Anfitrión: Monica & Stephan,"4,80",304,Bern
Hermosa habitación en el casco antiguo de Berna,"Habitación en Bern, Suiza",54,Quédate con Eliane,"4,82",68,Bern
Apartamento en la ciudad de Thun,"Alojamiento entero: piso en Thun, Suiza",216,Anfitrión: Marcos,"4,93",42,Bern
"Apartamento tipo loft, bonito y céntrico","Alojamiento entero: piso en Thun, Suiza",185,Anfitrión: Nicole,"5,0",,Bern
La mejor ubicación cerca del centro de Berna,"Alojamiento entero: piso en Berna, Suiza",226,Anfitrión: Stefan,"4,90",382,Bern
Romántico apartamento amplio DG,"Alojamiento entero: loft en Reichenbach, Suiza",141,Anfitrión: Mathias & Christina,"4,98",189,Bern
Sennenwohnung Bärghuus Axalp,"Alojamiento entero: piso en Axalp, Suiza",129,Anfitrión: Peter,"4,90",200,Bern
"Maisonette-Apt., casco antiguo, a 3 minutos de la estación de Berna","Alojamiento entero: piso en Bern, Suiza",170,Anfitrión: Kai,"4,69",661,Bern
Vivir en el casco histórico en la habitación 35,"Alojamiento entero: piso en Thun, Suiza",69,Anfitrión: Anton,"4,66",124,Bern
Precioso estudio en villa del siglo XVIII,"Alojamiento entero: villa en Thun, Suiza",118,Anfitrión: Jennifer,"4,87",54,Bern
Hermoso apartamento de 2 habitaciones y vistas ingeniosas,"Alojamiento entero: piso en Schangnau, Suiza",87,Anfitrión: Erna & Albrecht,"4,83",233,Bern
Espléndido loft con vistas al lago,"Alojamiento entero: loft en Neuchâtel, Suiza",226,Anfitrión: Regina,"5,0",7,Bern
"Dormitorio de la ciudad perfecto, amplio y moderno","Alojamiento entero: piso en Bern, Suiza",226,Anfitrión: Corinne & Chris,"5,0",14,Bern
Casa acogedora Natur-/Stadtnah cerca de Berna,"Alojamiento entero: vivienda en Köniz, Suiza",208,Anfitrión: Anneke,"4,75",,Bern
Casa señorial en una ubicación tranquila y céntrica.,"Alojamiento entero: piso en Grenchen, Suiza",98,Anfitrión: Jan,"4,93",89,Bern
Hogar del amor,"Alojamiento entero: piso en Ostermundigen, Suiza",113,Anfitrión: Lisboa,"4,74",70,Bern
"Niederli - Oase, Spiez","Alojamiento entero: vivienda en Spiez, Suiza",118,Anfitrión: Martin,"4,97",68,Bern
Lugar mágico y piscina de Beatenberg,"Habitación en Beatenberg, Suiza",212,Quédate con Gerti,"4,90",551,Bern
Elegante apartamento. Terraza de 120 metros cuadrados - balcón y gimnasio,"Alojamiento entero: piso en Biel, Suiza",111,Anfitrión: Serge,"4,82",17,Bern
Acogedor apartamento en el ático,"Alojamiento entero: piso en Burgdorf, Suiza",139,Anfitrión: Dino,"4,96",,Bern
En la habitación 25: estar en el casco antiguo,"Alojamiento entero: piso en Thun, Suiza",70,Anfitrión: Anton,"4,69",173,Bern
"Estudio de la ciudad, casco antiguo, a 3 minutos de la estación de Berna","Alojamiento entero: piso en Bern, Suiza",124,Anfitrión: Kai,"4,70",821,Bern
"¡Lujo, apartamento en el centro de la ciudad! NETFLIX, Apple TV","Alojamiento entero: piso en Lucerna, Suiza",163,Anfitrión: Nico,"4,62",183,Bern
Estudio con vistas al lago y a la montaña,"Alojamiento entero: piso en Beatenberg, Suiza",157,Anfitrión: Karin Joyce,"5,0",,Bern
Casa en zona rural,"Alojamiento entero: piso en Zollikofen, Suiza",98,Anfitrión: Hans,"4,80",247,Bern
Alojamiento en Emmentaler Spycher de 300 años,"Habitación en Ersigen, Suiza",23,Anfitrión: Alexander,"4,70",44,Bern
Apartamento nuevo totalmente equipado cerca del centro de Berna,"Alojamiento entero: piso en Bern, Suiza",100,Anfitrión: Edon,"4,81",208,Bern
¡Apartamento de 2 habitaciones cerca de Lucerna! Lucerna de 2 dormitorios,"Alojamiento entero: piso en Emmen, Suiza",93,Anfitrión: Marie-Theres,"4,91",65,Bern
Bnb de l 'Ermitage - apartamento. con impresionantes vistas,"Alojamiento entero: piso en Neuchâtel, Suiza",134,Anfitrión: Evelyne,"5,0",71,Bern
Hermoso apartamento de 2 habitaciones y vistas ingeniosas,"Alojamiento entero: piso en Schangnau, Suiza",87,Anfitrión: Erna & Albrecht,"4,83",233,Bern
Disfruta de las vacaciones con vistas a Gehrihorn,"Alojamiento entero: piso en Reichenbach im Kandertal, Suiza",103,Anfitrión: Susanne & Martin,"4,68",80,Bern
Margretsapartement,"Alojamiento entero: piso en Saxeten, Suiza",103,Anfitrión: Ursula,"4,92",53,Bern
Retiros ocultos | The Lohner,"Alojamiento entero: piso en Reichenbach im Kandertal, Suiza",595,Anfitrión: Wes,"4,96",24,Bern
Apartamento romántico en el lago y la montaña Pure Swissness,"Alojamiento entero: piso en Brienz, Suiza",190,Anfitrión: Holiday Brienz,"4,85",198,Bern
Swissalps chalééé,"Alojamiento entero: piso en Beatenberg, Suiza",154,Anfitrión: René,"4,89",139,Bern
Acogedora cabaña en la bella Brunngasse,"Alojamiento entero: adosado en Brienz, Suiza",111,Anfitrión: David,"4,77",94,Bern
"la mejor ubicación, moderno apartamento urbano","Alojamiento entero: piso en Bern, Suiza",123,Anfitrión: Corinne & Chris,,,Bern
Puro idilio: nuevo apartamento en una antigua granja,"Alojamiento entero: piso en Hilterfingen, Suiza",123,Anfitrión: Nadja,"4,97",69,Bern
Precioso estudio en una villa del siglo XVIII,"Alojamiento entero: villa en Thun, Suiza",131,Anfitrión: Jennifer,"4,91",184,Bern
Margretsapartement,"Alojamiento entero: piso en Saxeten, Suiza",103,Anfitrión: Ursula,"4,92",53,Bern
¡Apartamento de 2 habitaciones cerca de Lucerna! Lucerna de 2 dormitorios,"Alojamiento entero: piso en Emmen, Suiza",93,Anfitrión: Marie-Theres,"4,91",65,Bern
acogedora habitación artística/arte/ cultura de la noche,"Alojamiento entero: piso en Interlaken, Suiza",152,Anfitrión: Barbara & Simona,"4,43",382,Bern
En la habitación 25: estar en el casco antiguo,"Alojamiento entero: piso en Thun, Suiza",70,Anfitrión: Anton,"4,69",173,Bern
Apartamentos la terraza solárium del Oberland bernés,"Alojamiento entero: piso en Beatenberg, Suiza",137,Anfitrión: Alexandra,"4,96",289,Bern
"Precioso apartamento de 1,5 habitaciones en centro de Friburgo","Alojamiento entero: piso en Friburgo, Suiza",87,Anfitrión: Isabella,"4,93",69,Bern
Romántico apartamento amplio DG,"Alojamiento entero: loft en Reichenbach, Suiza",141,Anfitrión: Mathias & Christina,"4,98",189,Bern
Bnb de l 'Ermitage - apartamento. con impresionantes vistas,"Alojamiento entero: piso en Neuchâtel, Suiza",134,Anfitrión: Evelyne,"5,0",71,Bern
Apartamento estudio con estacionamiento y jardín privado,"Alojamiento entero: apartamento con servicios en Köniz, Suiza",108,Anfitrión: Eileen & John,"4,85",34,Bern
Apartamento de ensueño en el lago Murten,"Alojamiento entero: piso en Faoug, Suiza",120,Anfitrión: Matthias,"4,96",,Bern
"Apartamento ""Seehorn"" con olla caliente en las montañas","Alojamiento entero: vivienda vacacional en Diemtigen, Suiza",108,Anfitrión: Christian,"4,98",57,Bern
"Estacionamiento gratuito en Stylisch Loft, Netflix","Alojamiento entero: loft en Lucerna, Suiza",114,Anfitrión: Nico,"4,44",185,Bern
LOFT junto al lago: tu casa en el agua,"Alojamiento entero: piso en Thun, Suiza",187,Anfitrión: Alain,"5,0",10,Bern
Charmant mobil-home au camping d 'Avenches,"Minicasa en Avenches, Suiza",113,Anfitrión: Geoffrey,,,Bern
Charmant mobil-home au camping d 'Avenches,"Minicasa en Avenches, Suiza",113,Anfitrión: Geoffrey,,,Bern
Paraíso alpino en Oberland bernés,"Alojamiento entero: piso en Frutigen, Suiza",96,Anfitrión: Gabriela,"4,70",69,Bern
Un apartamento acogedor para unas vacaciones relajadas,"Alojamiento entero: piso en Arni, Suiza",85,Anfitrión: Erich,"4,95",41,Bern
Puro idilio: nuevo apartamento en una antigua granja,"Alojamiento entero: piso en Hilterfingen, Suiza",123,Anfitrión: Nadja,"4,97",69,Bern
⭐Acogedora casa con estufa de leña y jardín soleado⭐,"Alojamiento entero: casa de invitados en Wengi, Suiza",100,Anfitrión: Anja & Raphael,"5,0",185,Bern
"Patio trasero-Apto, casco antiguo, a 3 minutos de la estación de Berna","Alojamiento entero: piso en Bern, Suiza",172,Anfitrión: Kai,"4,59",431,Bern
Apartamento luminoso de 1 habitación muy acogedor —-,"Alojamiento entero: piso en Bern, Suiza",58,Anfitrión: Stefanie,"4,40",5,Bern
Casa en zona rural,"Alojamiento entero: piso en Zollikofen, Suiza",98,Anfitrión: Hans,"4,80",247,Bern
Habitación con baño privado y entrada,"Habitación en Nidau, Suiza",27,Quédate con Helena B.,"4,60",52,Bern
Vistas a los praderas,"Alojamiento entero: piso en Worb, Suiza",77,Anfitrión: Thomas Und Christine,"4,85",150,Bern
¡Apartamento con vistas de ensueño!,"Alojamiento entero: piso en Beatenberg, Suiza",,Anfitrión: Penelope,,,Bern
"Apartamento ""LA puerta roja""","Alojamiento entero: piso en Unterseen, Suiza",150,Anfitrión: Stefanie,"4,93",92,Bern
Pequeño y encantador ático,"Alojamiento entero: piso en Bern, Suiza",85,Anfitrión: Andrea Und Urs,"4,96",27,Bern
"Estacionamiento gratuito en Stylisch Loft, Netflix","Alojamiento entero: loft en Lucerna, Suiza",114,Anfitrión: Nico,"4,44",185,Bern
Apartamentos la terraza solárium del Oberland bernés,"Alojamiento entero: piso en Beatenberg, Suiza",137,Anfitrión: Alexandra,"4,96",289,Bern
Acogedor apartamento en Blackwater,"Alojamiento entero: vivienda vacacional en Rüschegg Heubach, Suiza",81,Anfitrión: Christian,"4,92",62,Bern
Estudio con vistas a la montaña y Diemtigtal 2,"Alojamiento entero: apto. residencial en Bern, Suiza",72,Anfitrión: Ursula,"4,86",29,Bern
Precioso estudio en villa del siglo XVIII,"Alojamiento entero: villa en Thun, Suiza",118,Anfitrión: Jennifer,"4,87",54,Bern
⭐Acogedora casa con estufa de leña y jardín soleado⭐,"Alojamiento entero: casa de invitados en Wengi, Suiza",100,Anfitrión: Anja & Raphael,"5,0",185,Bern
Apartamento hogareño en el corazón del Emmental,"Alojamiento entero: piso en Röthenbach im Emmental, Suiza",98,Anfitrión: Sarah,"4,96",57,Bern
Acogedor apartamento en Blackwater,"Alojamiento entero: vivienda vacacional en Rüschegg Heubach, Suiza",81,Anfitrión: Christian,"4,92",62,Bern
"Habitación minimalista, casco antiguo, a 3 minutos de la estación de Berna","Habitación en Bern, Suiza",81,Anfitrión: Kai,"4,75",,Bern
Logotipo céntrico y moderno de 1 habitación,"Alojamiento entero: piso en Bern, Suiza",123,Anfitrión: Flo,"4,93",121,Bern
Apartamento en ático de 2 habitaciones Wohlensee,"Alojamiento entero: piso en Wohlen bei Bern, Suiza",56,Anfitrión: Claude,"4,88",,Bern
Acogedora cabaña en la bella Brunngasse,"Alojamiento entero: adosado en Brienz, Suiza",111,Anfitrión: David,"4,77",94,Bern
¡Apartamento con vistas de ensueño!,"Alojamiento entero: piso en Beatenberg, Suiza",,Anfitrión: Penelope,,,Bern
"Apartamento ""LA puerta roja""","Alojamiento entero: piso en Unterseen, Suiza",150,Anfitrión: Stefanie,"4,93",92,Bern
En mitad de Berna,"Alojamiento entero: piso en Bern, Suiza",123,Anfitrión: Kristina,,,Bern
habitación individual oriental en B'n'B Thunerstern,"Habitación privada en: piso en Thun, Suiza",58,Anfitrión: B'N'B,"4,68",153,Bern
Paraíso alpino en Oberland bernés,"Alojamiento entero: piso en Frutigen, Suiza",96,Anfitrión: Gabriela,"4,70",69,Bern
Estudio Panoramablick Oberhofen,"Alojamiento entero: piso en Oberhofen am Thunersee, Suiza",110,Anfitrión: Franz,"4,87",999,Bern
Nuevo apartamento renovado cerca del centro de Berna,"Alojamiento entero: piso en Bern, Suiza",82,Anfitrión: Huber,"4,70",466,Bern
Hermoso y luminoso apartamento con una galería,"Alojamiento entero: piso en Forst bei Längenbühl, Suiza",69,Anfitrión: Katrin,"4,90",31,Bern
"Apartamento dorado, casco antiguo, a 3 minutos de la estación de tren de Berna","Habitación en apartahotel en Bern, Suiza",153,Anfitrión: Kai,"4,86",207,Bern
Apartamentos la terraza solárium del Oberland bernés,"Alojamiento entero: piso en Beatenberg, Suiza",137,Anfitrión: Alexandra,"4,96",289,Bern
"Apartamento de 4,5 habitaciones en el campo","Alojamiento entero: piso en Schwarzenburg, Suiza",123,Anfitrión: Verena,"4,89",110,Bern
"Habitación minimalista, casco antiguo, a 3 minutos de la estación de Berna","Habitación en Bern, Suiza",81,Anfitrión: Kai,"4,75",,Bern
"Apartamento ""LA puerta roja""","Alojamiento entero: piso en Unterseen, Suiza",150,Anfitrión: Stefanie,"4,93",92,Bern
Habitación privada e independiente en Berna,"Alojamiento entero: suite con entrada independiente en Bern, Suiza",87,Anfitrión: DIsabel,"4,71",21,Bern
"Apartamento dorado, casco antiguo, a 3 minutos de la estación de tren de Berna","Habitación en apartahotel en Bern, Suiza",153,Anfitrión: Kai,"4,86",207,Bern
"Apartamento tipo loft, bonito y céntrico","Alojamiento entero: piso en Thun, Suiza",185,Anfitrión: Nicole,"5,0",,Bern
Precioso apartamento de 1 habitación con terraza y cerca de la Universidad,"Alojamiento entero: piso en Bern, Suiza",76,Anfitrión: Daniel,"4,85",87,Bern
⭐Acogedora casa con estufa de leña y jardín soleado⭐,"Alojamiento entero: casa de invitados en Wengi, Suiza",100,Anfitrión: Anja & Raphael,"5,0",185,Bern
Apartamento hogareño en el corazón del Emmental,"Alojamiento entero: piso en Röthenbach im Emmental, Suiza",98,Anfitrión: Sarah,"4,96",57,Bern
Habitación romántica - entrada independiente,"Habitación en Bern, Suiza",77,Quédate con Janina & Daniela,"4,96",207,Bern
"Apartamento de 4,5 habitaciones en el campo","Alojamiento entero: piso en Schwarzenburg, Suiza",123,Anfitrión: Verena,"4,89",110,Bern
Hermoso y luminoso apartamento con una galería,"Alojamiento entero: piso en Forst bei Längenbühl, Suiza",69,Anfitrión: Katrin,"4,90",31,Bern
Paraíso alpino en Oberland bernés,"Alojamiento entero: piso en Frutigen, Suiza",96,Anfitrión: Gabriela,"4,70",69,Bern
Encantadora habitación individual tranquila,"Habitación en Bern, Suiza",54,Quédate con Esther,,,Bern
Habitación privada en la ciudad de Berna,"Habitación en Bern, Suiza",62,Quédate con Veronica,"4,82",39,Bern
habitación individual oriental en B'n'B Thunerstern,"Habitación privada en: piso en Thun, Suiza",58,Anfitrión: B'N'B,"4,68",153,Bern
Apartamento con vistas bonitas,"Alojamiento entero: piso en Diemtigen, Suiza",53,Anfitrión: Hildegard Und Peter,"4,98",200,Bern
¡A pocos pasos de los mejores sitios de Berna! Ubicación conveniente,"Alojamiento entero: piso en Berna, Suiza",144,Anfitrión: Sara And Rob,"4,90",335,Bern
Alquiler en Panoramadorp Beatenberg,"Alojamiento entero: piso en Beatenberg, Suiza",75,Anfitrión: Joke,"4,58",172,Bern
Los mejores apartamentos modernos con garaje,"Alojamiento entero: apto. residencial en Bern, Suiza",103,Anfitrión: Michael,"4,94",114,Bern
Acogedor dormitorio privado a 4 minutos del centro de la ciudad,"Habitación en Bern, Suiza",51,Quédate con Setayesh,"4,72",25,Bern
¡A pocos pasos de los mejores sitios de Berna! Ubicación conveniente,"Alojamiento entero: piso en Berna, Suiza",144,Anfitrión: Sara And Rob,"4,90",335,Bern
"Apartamento superior, Altstadt","Alojamiento entero: piso en Bern, Suiza",158,Anfitrión: Kai,"4,88",340,Bern
habitación individual oriental en B'n'B Thunerstern,"Habitación privada en: piso en Thun, Suiza",58,Anfitrión: B'N'B,"4,68",153,Bern
"Acogedora habitación en el distrito más moderno, incluida la salida después de la hora establecida.","Habitación en Bern, Suiza",69,Anfitrión: Pascal,"4,86",,Bern
Habitación en el centro de Berna,"Habitación en Bern, Suiza",78,Quédate con Remo,,,Bern
acogedora habitación artística/arte/ cultura de la noche,"Alojamiento entero: piso en Interlaken, Suiza",152,Anfitrión: Barbara & Simona,"4,43",382,Bern
Alquiler en Panoramadorp Beatenberg,"Alojamiento entero: piso en Beatenberg, Suiza",75,Anfitrión: Joke,"4,58",172,Bern
Apartamento en Little Park,"Alojamiento entero: apto. residencial en Bern, Suiza",103,Anfitrión: Cristhian,"4,73",169,Bern
"Acogedor, cómodo y céntrico","Alojamiento entero: piso en Bern, Suiza",93,Anfitrión: Laura,,,Bern
Schönes Studio en Steffisburg,"Alojamiento entero: piso en Steffisburg, Suiza",77,Anfitrión: Verena,"4,99",92,Bern
"Ferienwohnung ""Rötiblick""","Alojamiento entero: piso en Welschenrohr, Suiza",77,Anfitrión: Irene,"4,90",61,Bern
Acogedor y elegante estudio en el centro de la ciudad,"Alojamiento entero: piso en Biel, Suiza",78,Anfitrión: Salome,"4,80",25,Bern
"Pequeño pero agradable: habitación tranquila, céntrica, rural","Habitación en Niederhünigen, Suiza",35,Quédate con Damaris,"4,89",57,Bern
Estudio con vistas al lago y a la montaña,"Alojamiento entero: piso en Beatenberg, Suiza",154,Anfitrión: Chalet Lerche,"4,75",4,Bern
¡A pocos pasos de los mejores sitios de Berna y de un gran diseño también!,"Alojamiento entero: piso en Berna, Suiza",154,Anfitrión: Sara And Rob,"4,91",342,Bern
Cuna de campo muy cómoda,"Alojamiento entero: vivienda en Sorvilier, Suiza",87,Anfitrión: Silvia,"5,0",9,Bern
"Pequeño pero agradable: habitación tranquila, céntrica, rural","Habitación en Niederhünigen, Suiza",35,Quédate con Damaris,"4,89",57,Bern
Acogedor y elegante estudio en el centro de la ciudad,"Alojamiento entero: piso en Biel, Suiza",78,Anfitrión: Salome,"4,80",25,Bern
Un oasis en mi oasis.,"Habitación en Burgdorf, Suiza",57,Quédate con Anja,"4,97",270,Bern
Schönes Studio en Steffisburg,"Alojamiento entero: piso en Steffisburg, Suiza",77,Anfitrión: Verena,"4,99",92,Bern
Diseño de ensueño,"Alojamiento entero: loft en Bern, Suiza",116,Anfitrión: Thomas,"4,81",16,Bern
Estudio con vistas al lago y a la montaña,"Alojamiento entero: piso en Beatenberg, Suiza",154,Anfitrión: Chalet Lerche,"4,75",4,Bern
Le Tréfle - Biel/Bienne,"Alojamiento entero: piso en Biel, Suiza",51,Anfitrión: Karin,,,Bern
SwissHut Amazing Views Alps & Lake Thun,"Alojamiento entero: piso en Merligen, Suiza",307,Anfitrión: SwissHut Chalets & Apartments,"5,0",49,Bern
Cuna de campo muy cómoda,"Alojamiento entero: vivienda en Sorvilier, Suiza",87,Anfitrión: Silvia,"5,0",9,Bern
¡A pocos pasos de los mejores sitios de Berna y de un gran diseño también!,"Alojamiento entero: piso en Berna, Suiza",154,Anfitrión: Sara And Rob,"4,91",342,Bern
Apartamento 75m2 Moderno reformado completo Oct 2021!,"Alojamiento entero: apto. residencial en Biel, Suiza",113,Anfitrión: Vincent,"4,83",12,Bern
minicasa am gurten berg in bern,"Minicasa en Köniz, Suiza",93,Anfitrión: Erich,"4,87",38,Bern
Apartamento de 1 habitación en alquiler en Berna,"Alojamiento entero: piso en Bern, Suiza",98,Anfitrión: Liyan,,,Bern
"Ice Attic-Apt, casco antiguo, a 3 minutos de la estación de tren","Habitación en apartahotel en Bern, Suiza",129,Anfitrión: Kai,"4,84",218,Bern
Habitación idílica en casa con jardín,"Habitación en Steffisburg, Suiza",57,Quédate con Dominik,,,Bern
"FF 's LAKE VIEW Beauty, Free Parking","Alojamiento entero: suite con entrada independiente en Spiez, Suiza",154,Anfitrión: Meifang,"4,76",449,Bern
Apartamento de ensueño en Berner Oberland (con Netflix),"Alojamiento entero: piso en Kandergrund, Suiza",77,Anfitrión: Franziska,"4,89",142,Bern
Dulce vivienda,"Alojamiento entero: piso en Wattenwil, Suiza",71,Anfitrión: Albrecht,"4,98",138,Bern
Habitación confortable,"Habitación en Friburgo, Suiza",31,Quédate con Eric,"4,77",75,Bern
Biohof Schwarzenberg,"Granja en Rüti bei Riggisberg, Suiza",80,Anfitrión: Irene,"4,81",103,Bern
SwissHut Amazing Views Alps & Lake Thun,"Alojamiento entero: piso en Sigriswil, Suiza",101,Anfitrión: SwissHut Chalets & Apartments,"4,82",44,Bern
tranquilidad y naturaleza,"Alojamiento entero: vivienda en Prêles, Suiza",123,Anfitrión: Beatrice,"4,69",13,Bern
Chaléé Kunterbunt,"Alojamiento entero: piso en Ringgenberg, Suiza",142,Anfitrión: Cony,"4,90",302,Bern
Apartamento idílico en vegetación cerca del lago,"Alojamiento entero: piso en Thun, Suiza",123,Anfitrión: Samuel,"4,96",70,Bern
"Apartamento vintage, casco antiguo, a 3 minutos a pie de la estación de Berna","Alojamiento entero: piso en Bern, Suiza",200,Anfitrión: Kai,"4,76",592,Bern
Loft en el borde verde de Berna cerca del río Aare,"Alojamiento entero: loft en Worblaufen, Suiza",86,Anfitrión: Jürg,"4,87",30,Bern
Apartamento en Bellach cerca del centro de Solothurn,"Alojamiento entero: piso en Bellach, Suiza",67,Anfitrión: Marie-Claude,"4,87",39,Bern
Acogedor estudio en casa,"Habitación privada en: vivienda en Bern, Suiza",72,Anfitrión: Esther,"4,71",370,Bern
Apartamento de ensueño en Berner Oberland (con Netflix),"Alojamiento entero: piso en Kandergrund, Suiza",77,Anfitrión: Franziska,"4,89",142,Bern
SwissHut Amazing Views Alps & Lake Thun,"Alojamiento entero: piso en Sigriswil, Suiza",101,Anfitrión: SwissHut Chalets & Apartments,"4,89",19,Bern
Habitación con todas las comodidades,"Habitación privada en: piso en Ittigen, Suiza",74,Anfitrión: Swiss Migration,"4,75",,Bern
Ferienwohnung auf der Hinteregg,"Alojamiento entero: piso en Gohl, Suiza",57,Anfitrión: Verena,"4,92",213,Bern
La Casa de los Viajeros,"Alojamiento entero: piso en Bern, Suiza",103,Anfitrión: Yuskeily,,,Bern
"""El Mirador"" Stunning views from top of Interlaken","Alojamiento entero: piso en Beatenberg, Suiza",93,Anfitrión: Andrea & Theo,"4,97",64,Bern
Estudio en Mont Vully con vistas al lago Murten,"Alojamiento entero: piso en Bellerive, Suiza",70,Anfitrión: Eliane,"4,89",139,Bern
35R Estudio Contemporáneo en el corazón de Luzern,"Alojamiento entero: piso en Lucerna, Suiza",104,Anfitrión: TemporaryLiving,"4,71",102,Bern
"Apartamento cómodo de 1,5 habitaciones","Alojamiento entero: piso en Diemtigen, Suiza",71,Anfitrión: Margret,"4,66",171,Bern
Apartamento de ensueño en Berner Oberland (con Netflix),"Alojamiento entero: piso en Kandergrund, Suiza",77,Anfitrión: Franziska,"4,89",142,Bern
"""El Mirador"" Stunning views from top of Interlaken","Alojamiento entero: piso en Beatenberg, Suiza",93,Anfitrión: Andrea & Theo,"4,97",64,Bern
Precioso y acogedor estudio,"Alojamiento entero: apto. residencial en Vallon, Suiza",71,Anfitrión: Geoffrey,"4,95",,Bern
¡Experiencia vacacional acogedora en una ubicación privilegiada!,"Alojamiento entero: piso en Grindelwald, Suiza",93,Anfitrión: Doris,"4,93",74,Bern
