name;category;price_per_night;host;rating;reviews;city;country
Disfruta de las vacaciones con vistas a Gehrihorn;Alojamiento entero;103.0; Susanne & Martin;4.68;80.0;Bern;Suiza
Margretsapartement;Alojamiento entero;103.0; Ursula;4.92;53.0;Bern;Suiza
Retiros ocultos | The Lohner;Alojamiento entero;595.0; Wes;4.96;24.0;Bern;Suiza
Apartamento romántico en el lago y la montaña Pure Swissness;Alojamiento entero;190.0; Holiday Brienz;4.85;198.0;Bern;Suiza
Swissalps chalééé;Alojamiento entero;154.0; René;4.89;139.0;Bern;Suiza
Acogedora cabaña en la bella Brunngasse;Alojamiento entero;111.0; David;4.77;94.0;Bern;Suiza
la mejor ubicación, moderno apartamento urbano;Alojamiento entero;123.0; Corinne & Chris;0.0;0.0;Bern;Suiza
Puro idilio: nuevo apartamento en una antigua granja;Alojamiento entero;123.0; Nadja;4.97;69.0;Bern;Suiza
Precioso estudio en una villa del siglo XVIII;Alojamiento entero;131.0; Jennifer;4.91;184.0;Bern;Suiza
Margretsapartement;Alojamiento entero;103.0; Ursula;4.92;53.0;Bern;Suiza
¡Apartamento de 2 habitaciones cerca de Lucerna! Lucerna de 2 dormitorios;Alojamiento entero;93.0; Marie-Theres;4.91;65.0;Bern;Suiza
acogedora habitación artística/arte/ cultura de la noche;Alojamiento entero;152.0; Barbara & Simona;4.43;382.0;Bern;Suiza
En la habitación 25: estar en el casco antiguo;Alojamiento entero;70.0; Anton;4.69;173.0;Bern;Suiza
Apartamentos la terraza solárium del Oberland bernés;Alojamiento entero;137.0; Alexandra;4.96;289.0;Bern;Suiza
Precioso apartamento de 1,5 habitaciones en centro de Friburgo;Alojamiento entero;87.0; Isabella;4.93;69.0;Bern;Suiza
Romántico apartamento amplio DG;Alojamiento entero;141.0; Mathias & Christina;4.98;189.0;Bern;Suiza
Bnb de l 'Ermitage - apartamento. con impresionantes vistas;Alojamiento entero;134.0; Evelyne;5.0;71.0;Bern;Suiza
Apartamento estudio con estacionamiento y jardín privado;Alojamiento entero;108.0; Eileen & John;4.85;34.0;Bern;Suiza
Apartamento de ensueño en el lago Murten;Alojamiento entero;120.0; Matthias;4.96;0.0;Bern;Suiza
"Apartamento ""Seehorn"" con olla caliente en las montañas";Alojamiento entero;108.0; Christian;4.98;57.0;Bern;Suiza
Estacionamiento gratuito en Stylisch Loft, Netflix;Alojamiento entero;114.0; Nico;4.44;185.0;Bern;Suiza
LOFT junto al lago: tu casa en el agua;Alojamiento entero;187.0; Alain;5.0;10.0;Bern;Suiza
Charmant mobil-home au camping d 'Avenches;otro;113.0; Geoffrey;0.0;0.0;Bern;Suiza
Charmant mobil-home au camping d 'Avenches;otro;113.0; Geoffrey;0.0;0.0;Bern;Suiza
Paraíso alpino en Oberland bernés;Alojamiento entero;96.0; Gabriela;4.7;69.0;Bern;Suiza
Un apartamento acogedor para unas vacaciones relajadas;Alojamiento entero;85.0; Erich;4.95;41.0;Bern;Suiza
Puro idilio: nuevo apartamento en una antigua granja;Alojamiento entero;123.0; Nadja;4.97;69.0;Bern;Suiza
⭐Acogedora casa con estufa de leña y jardín soleado⭐;Alojamiento entero;100.0; Anja & Raphael;5.0;185.0;Bern;Suiza
Patio trasero-Apto, casco antiguo, a 3 minutos de la estación de Berna;Alojamiento entero;172.0; Kai;4.59;431.0;Bern;Suiza
Apartamento luminoso de 1 habitación muy acogedor —-;Alojamiento entero;58.0; Stefanie;4.4;5.0;Bern;Suiza
Casa en zona rural;Alojamiento entero;98.0; Hans;4.8;247.0;Bern;Suiza
Habitación con baño privado y entrada;Habitación;27.0;Helena B.;4.6;52.0;Bern;Suiza
Vistas a los praderas;Alojamiento entero;77.0; Thomas Und Christine;4.85;150.0;Bern;Suiza
"Apartamento ""LA puerta roja""";Alojamiento entero;150.0; Stefanie;4.93;92.0;Bern;Suiza
Pequeño y encantador ático;Alojamiento entero;85.0; Andrea Und Urs;4.96;27.0;Bern;Suiza
Estacionamiento gratuito en Stylisch Loft, Netflix;Alojamiento entero;114.0; Nico;4.44;185.0;Bern;Suiza
Apartamentos la terraza solárium del Oberland bernés;Alojamiento entero;137.0; Alexandra;4.96;289.0;Bern;Suiza
Acogedor apartamento en Blackwater;Alojamiento entero;81.0; Christian;4.92;62.0;Bern;Suiza
Estudio con vistas a la montaña y Diemtigtal 2;Alojamiento entero;72.0; Ursula;4.86;29.0;Bern;Suiza
Precioso estudio en villa del siglo XVIII;Alojamiento entero;118.0; Jennifer;4.87;54.0;Bern;Suiza
⭐Acogedora casa con estufa de leña y jardín soleado⭐;Alojamiento entero;100.0; Anja & Raphael;5.0;185.0;Bern;Suiza
Apartamento hogareño en el corazón del Emmental;Alojamiento entero;98.0; Sarah;4.96;57.0;Bern;Suiza
Acogedor apartamento en Blackwater;Alojamiento entero;81.0; Christian;4.92;62.0;Bern;Suiza
Habitación minimalista, casco antiguo, a 3 minutos de la estación de Berna;Habitación;81.0; Kai;4.75;0.0;Bern;Suiza
Logotipo céntrico y moderno de 1 habitación;Alojamiento entero;123.0; Flo;4.93;121.0;Bern;Suiza
Apartamento en ático de 2 habitaciones Wohlensee;Alojamiento entero;56.0; Claude;4.88;0.0;Bern;Suiza
Acogedora cabaña en la bella Brunngasse;Alojamiento entero;111.0; David;4.77;94.0;Bern;Suiza
"Apartamento ""LA puerta roja""";Alojamiento entero;150.0; Stefanie;4.93;92.0;Bern;Suiza
En mitad de Berna;Alojamiento entero;123.0; Kristina;0.0;0.0;Bern;Suiza
habitación individual oriental en B'n'B Thunerstern;Habitación;58.0; B'N'B;4.68;153.0;Bern;Suiza
Paraíso alpino en Oberland bernés;Alojamiento entero;96.0; Gabriela;4.7;69.0;Bern;Suiza
Estudio Panoramablick Oberhofen;Alojamiento entero;110.0; Franz;4.87;999.0;Bern;Suiza
Nuevo apartamento renovado cerca del centro de Berna;Alojamiento entero;82.0; Huber;4.7;466.0;Bern;Suiza
Hermoso y luminoso apartamento con una galería;Alojamiento entero;69.0; Katrin;4.9;31.0;Bern;Suiza
Apartamento dorado, casco antiguo, a 3 minutos de la estación de tren de Berna;Habitación;153.0; Kai;4.86;207.0;Bern;Suiza
Apartamentos la terraza solárium del Oberland bernés;Alojamiento entero;137.0; Alexandra;4.96;289.0;Bern;Suiza
Apartamento de 4,5 habitaciones en el campo;Alojamiento entero;123.0; Verena;4.89;110.0;Bern;Suiza
Habitación minimalista, casco antiguo, a 3 minutos de la estación de Berna;Habitación;81.0; Kai;4.75;0.0;Bern;Suiza
"Apartamento ""LA puerta roja""";Alojamiento entero;150.0; Stefanie;4.93;92.0;Bern;Suiza
Habitación privada e independiente en Berna;Alojamiento entero;87.0; DIsabel;4.71;21.0;Bern;Suiza
Apartamento dorado, casco antiguo, a 3 minutos de la estación de tren de Berna;Habitación;153.0; Kai;4.86;207.0;Bern;Suiza
Apartamento tipo loft, bonito y céntrico;Alojamiento entero;185.0; Nicole;5.0;0.0;Bern;Suiza
Precioso apartamento de 1 habitación con terraza y cerca de la Universidad;Alojamiento entero;76.0; Daniel;4.85;87.0;Bern;Suiza
⭐Acogedora casa con estufa de leña y jardín soleado⭐;Alojamiento entero;100.0; Anja & Raphael;5.0;185.0;Bern;Suiza
Apartamento hogareño en el corazón del Emmental;Alojamiento entero;98.0; Sarah;4.96;57.0;Bern;Suiza
Habitación romántica - entrada independiente;Habitación;77.0;Janina & Daniela;4.96;207.0;Bern;Suiza
Apartamento de 4,5 habitaciones en el campo;Alojamiento entero;123.0; Verena;4.89;110.0;Bern;Suiza
Hermoso y luminoso apartamento con una galería;Alojamiento entero;69.0; Katrin;4.9;31.0;Bern;Suiza
Paraíso alpino en Oberland bernés;Alojamiento entero;96.0; Gabriela;4.7;69.0;Bern;Suiza
Encantadora habitación individual tranquila;Habitación;54.0;Esther;0.0;0.0;Bern;Suiza
Habitación privada en la ciudad de Berna;Habitación;62.0;Veronica;4.82;39.0;Bern;Suiza
habitación individual oriental en B'n'B Thunerstern;Habitación;58.0; B'N'B;4.68;153.0;Bern;Suiza
Apartamento con vistas bonitas;Alojamiento entero;53.0; Hildegard Und Peter;4.98;200.0;Bern;Suiza
¡A pocos pasos de los mejores sitios de Berna! Ubicación conveniente;Alojamiento entero;144.0; Sara And Rob;4.9;335.0;Bern;Suiza
Alquiler en Panoramadorp Beatenberg;Alojamiento entero;75.0; Joke;4.58;172.0;Bern;Suiza
Los mejores apartamentos modernos con garaje;Alojamiento entero;103.0; Michael;4.94;114.0;Bern;Suiza
Acogedor dormitorio privado a 4 minutos del centro de la ciudad;Habitación;51.0;Setayesh;4.72;25.0;Bern;Suiza
¡A pocos pasos de los mejores sitios de Berna! Ubicación conveniente;Alojamiento entero;144.0; Sara And Rob;4.9;335.0;Bern;Suiza
Apartamento superior, Altstadt;Alojamiento entero;158.0; Kai;4.88;340.0;Bern;Suiza
habitación individual oriental en B'n'B Thunerstern;Habitación;58.0; B'N'B;4.68;153.0;Bern;Suiza
Acogedora habitación en el distrito más moderno, incluida la salida después de la hora establecida.;Habitación;69.0; Pascal;4.86;0.0;Bern;Suiza
Habitación en el centro de Berna;Habitación;78.0;Remo;0.0;0.0;Bern;Suiza
acogedora habitación artística/arte/ cultura de la noche;Alojamiento entero;152.0; Barbara & Simona;4.43;382.0;Bern;Suiza
Alquiler en Panoramadorp Beatenberg;Alojamiento entero;75.0; Joke;4.58;172.0;Bern;Suiza
Apartamento en Little Park;Alojamiento entero;103.0; Cristhian;4.73;169.0;Bern;Suiza
Acogedor, cómodo y céntrico;Alojamiento entero;93.0; Laura;0.0;0.0;Bern;Suiza
Schönes Studio en Steffisburg;Alojamiento entero;77.0; Verena;4.99;92.0;Bern;Suiza
"Ferienwohnung ""Rötiblick""";Alojamiento entero;77.0; Irene;4.9;61.0;Bern;Suiza
Acogedor y elegante estudio en el centro de la ciudad;Alojamiento entero;78.0; Salome;4.8;25.0;Bern;Suiza
Pequeño pero agradable: habitación tranquila, céntrica, rural;Habitación;35.0;Damaris;4.89;57.0;Bern;Suiza
Estudio con vistas al lago y a la montaña;Alojamiento entero;154.0; Chalet Lerche;4.75;4.0;Bern;Suiza
¡A pocos pasos de los mejores sitios de Berna y de un gran diseño también!;Alojamiento entero;154.0; Sara And Rob;4.91;342.0;Bern;Suiza
Cuna de campo muy cómoda;Alojamiento entero;87.0; Silvia;5.0;9.0;Bern;Suiza
Pequeño pero agradable: habitación tranquila, céntrica, rural;Habitación;35.0;Damaris;4.89;57.0;Bern;Suiza
Acogedor y elegante estudio en el centro de la ciudad;Alojamiento entero;78.0; Salome;4.8;25.0;Bern;Suiza
Un oasis en mi oasis.;Habitación;57.0;Anja;4.97;270.0;Bern;Suiza
Schönes Studio en Steffisburg;Alojamiento entero;77.0; Verena;4.99;92.0;Bern;Suiza
Diseño de ensueño;Alojamiento entero;116.0; Thomas;4.81;16.0;Bern;Suiza
Estudio con vistas al lago y a la montaña;Alojamiento entero;154.0; Chalet Lerche;4.75;4.0;Bern;Suiza
Le Tréfle - Biel/Bienne;Alojamiento entero;51.0; Karin;0.0;0.0;Bern;Suiza
SwissHut Amazing Views Alps & Lake Thun;Alojamiento entero;307.0; SwissHut Chalets & Apartments;5.0;49.0;Bern;Suiza
Cuna de campo muy cómoda;Alojamiento entero;87.0; Silvia;5.0;9.0;Bern;Suiza
¡A pocos pasos de los mejores sitios de Berna y de un gran diseño también!;Alojamiento entero;154.0; Sara And Rob;4.91;342.0;Bern;Suiza
Apartamento 75m2 Moderno reformado completo Oct 2021!;Alojamiento entero;113.0; Vincent;4.83;12.0;Bern;Suiza
minicasa am gurten berg in bern;otro;93.0; Erich;4.87;38.0;Bern;Suiza
Apartamento de 1 habitación en alquiler en Berna;Alojamiento entero;98.0; Liyan;0.0;0.0;Bern;Suiza
Ice Attic-Apt, casco antiguo, a 3 minutos de la estación de tren;Habitación;129.0; Kai;4.84;218.0;Bern;Suiza
Habitación idílica en casa con jardín;Habitación;57.0;Dominik;0.0;0.0;Bern;Suiza
FF 's LAKE VIEW Beauty, Free Parking;Alojamiento entero;154.0; Meifang;4.76;449.0;Bern;Suiza
Apartamento de ensueño en Berner Oberland (con Netflix);Alojamiento entero;77.0; Franziska;4.89;142.0;Bern;Suiza
Dulce vivienda;Alojamiento entero;71.0; Albrecht;4.98;138.0;Bern;Suiza
Habitación confortable;Habitación;31.0;Eric;4.77;75.0;Bern;Suiza
Biohof Schwarzenberg;otro;80.0; Irene;4.81;103.0;Bern;Suiza
SwissHut Amazing Views Alps & Lake Thun;Alojamiento entero;101.0; SwissHut Chalets & Apartments;4.82;44.0;Bern;Suiza
tranquilidad y naturaleza;Alojamiento entero;123.0; Beatrice;4.69;13.0;Bern;Suiza
Chaléé Kunterbunt;Alojamiento entero;142.0; Cony;4.9;302.0;Bern;Suiza
Apartamento idílico en vegetación cerca del lago;Alojamiento entero;123.0; Samuel;4.96;70.0;Bern;Suiza
Apartamento vintage, casco antiguo, a 3 minutos a pie de la estación de Berna;Alojamiento entero;200.0; Kai;4.76;592.0;Bern;Suiza
Loft en el borde verde de Berna cerca del río Aare;Alojamiento entero;86.0; Jürg;4.87;30.0;Bern;Suiza
Apartamento en Bellach cerca del centro de Solothurn;Alojamiento entero;67.0; Marie-Claude;4.87;39.0;Bern;Suiza
Acogedor estudio en casa;Habitación;72.0; Esther;4.71;370.0;Bern;Suiza
Apartamento de ensueño en Berner Oberland (con Netflix);Alojamiento entero;77.0; Franziska;4.89;142.0;Bern;Suiza
SwissHut Amazing Views Alps & Lake Thun;Alojamiento entero;101.0; SwissHut Chalets & Apartments;4.89;19.0;Bern;Suiza
Habitación con todas las comodidades;Habitación;74.0; Swiss Migration;4.75;0.0;Bern;Suiza
Ferienwohnung auf der Hinteregg;Alojamiento entero;57.0; Verena;4.92;213.0;Bern;Suiza
La Casa de los Viajeros;Alojamiento entero;103.0; Yuskeily;0.0;0.0;Bern;Suiza
"""El Mirador"" Stunning views from top of Interlaken";Alojamiento entero;93.0; Andrea & Theo;4.97;64.0;Bern;Suiza
Estudio en Mont Vully con vistas al lago Murten;Alojamiento entero;70.0; Eliane;4.89;139.0;Bern;Suiza
35R Estudio Contemporáneo en el corazón de Luzern;Alojamiento entero;104.0; TemporaryLiving;4.71;102.0;Bern;Suiza
Apartamento cómodo de 1,5 habitaciones;Alojamiento entero;71.0; Margret;4.66;171.0;Bern;Suiza
Apartamento de ensueño en Berner Oberland (con Netflix);Alojamiento entero;77.0; Franziska;4.89;142.0;Bern;Suiza
"""El Mirador"" Stunning views from top of Interlaken";Alojamiento entero;93.0; Andrea & Theo;4.97;64.0;Bern;Suiza
Precioso y acogedor estudio;Alojamiento entero;71.0; Geoffrey;4.95;0.0;Bern;Suiza
¡Experiencia vacacional acogedora en una ubicación privilegiada!;Alojamiento entero;93.0; Doris;4.93;74.0;Bern;Suiza
Estudio Sonniges en Grindelwald / Sunny Studio;Alojamiento entero;164.0; Simone;4.82;208.0;Bern;Suiza
A los pies de la nariz;Alojamiento entero;62.0; Beno;4.96;78.0;Bern;Suiza
Residence zum Löwen Double Room;Habitación;84.0; Nina;0.0;0.0;Bern;Suiza
Estudio en Mont Vully con vistas al lago Murten;Alojamiento entero;70.0; Eliane;4.89;139.0;Bern;Suiza
Hübeli Lodge;Alojamiento entero;82.0; Karin;5.0;52.0;Bern;Suiza
Piso propio de la casa del siglo XIV;Alojamiento entero;37.0; Sara;4.29;116.0;Bern;Suiza
Hermoso departamento con vista a la montaña y jacuzzi;Alojamiento entero;109.0; Ursula;4.99;0.0;Bern;Suiza
Acogedor estudio de granja;Alojamiento entero;62.0; Bettina & Jürg;4.92;84.0;Bern;Suiza
Acogedor apartamento de 1,5 habitaciones;Alojamiento entero;65.0; Katrin;4.95;85.0;Bern;Suiza
Precioso apartamento con buenas vistas y aparcamiento;Alojamiento entero;77.0; Nadine;5.0;34.0;Bern;Suiza
Altbauwohnug, Berna Zentrum;Alojamiento entero;170.0; Andrea;4.93;60.0;Bern;Suiza
LentulusSkyAppartement;Alojamiento entero;133.0; Matteo;5.0;5.0;Bern;Suiza
Retiros ocultos | The Eiger;Alojamiento entero;367.0; Wes;4.93;28.0;Bern;Suiza
Apartamento azul, casco antiguo, a 3 minutos de la estación de tren de Berna.;Habitación;127.0; Kai;4.81;204.0;Bern;Suiza
Acogedor estudio de granja;Alojamiento entero;62.0; Bettina & Jürg;4.92;84.0;Bern;Suiza
Habitación tranquila con ambiente japonés en Biel;Habitación;26.0;Michèle;4.89;142.0;Bern;Suiza
Preciosa azotea, aparcamiento con vistas a la montaña.;Alojamiento entero;165.0; Eva Maria;4.96;74.0;Bern;Suiza
Weisses Haus - Top;Alojamiento entero;185.0; Aurelija;4.99;82.0;Bern;Suiza
Bergwohl;Alojamiento entero;139.0; Fabienne+Werner;4.97;147.0;Bern;Suiza
En el centro de Berna;Habitación;87.0;Konni;5.0;23.0;Bern;Suiza
Acogedor idilio de montaña con cocina;Alojamiento entero;139.0; Roland + Martina;4.95;107.0;Bern;Suiza
Hobbit House Appartment Gandalf;Alojamiento entero;154.0; Peter;4.71;17.0;Bern;Suiza
Apartamento Rústico en granja;otro;123.0; Anja;5.0;9.0;Bern;Suiza
Habitación en la torre, casa de huéspedes a pie del monte Mount;Alojamiento entero;60.0; Gästehaus Im Rank Marcel & Dunja;4.83;220.0;Bern;Suiza
Lugar de ensueño en el lago, senderismo de montaña, ciclismo, natación;Alojamiento entero;75.0; Amadeo;4.29;203.0;Bern;Suiza
Apartamento de 2,5 habitaciones con patio en Liebewil;Alojamiento entero;95.0; Jacqueline;4.9;41.0;Bern;Suiza
Vacaciones en el Municipio de Trub im Emmental;Alojamiento entero;68.0; Heinz;4.96;117.0;Bern;Suiza
Estudio Le Petit Ciel;Alojamiento entero;93.0; Françoise;4.93;332.0;Bern;Suiza
Berna a 2ZiWhg a 8 min del centro;Alojamiento entero;98.0; Ingrid;4.9;80.0;Bern;Suiza
Alójate en Emmentaler Speicher de 300 años;Habitación;43.0; Alexander;4.54;26.0;Bern;Suiza
Apartamento en Plagne CH con jardín privado;Alojamiento entero;54.0; Daniel;4.9;144.0;Bern;Suiza
Apartamento de 2,5 habitaciones con patio en Liebewil;Alojamiento entero;95.0; Jacqueline;4.9;41.0;Bern;Suiza
Berna a 2ZiWhg a 8 min del centro;Alojamiento entero;98.0; Ingrid;4.9;80.0;Bern;Suiza
Ferienwohnung am Rinderberg;Alojamiento entero;71.0; Lukas;4.83;35.0;Bern;Suiza
Kleines, zentrales Studio (404);Alojamiento entero;31.0; Theater Orchester Biel Solothurn;0.0;0.0;Bern;Suiza
Harder;Alojamiento entero;158.0; Sonja - Interhome Group;0.0;0.0;Bern;Suiza
EL CEDRO - Biel/Bienne;Alojamiento entero;57.0; Alex;4.85;105.0;Bern;Suiza
SwissHut Amazing Views Alps & Lake Thun;Alojamiento entero;127.0; SwissHut Chalets & Apartments;5.0;10.0;Bern;Suiza
Apartamento panorámico directamente en el;Alojamiento entero;216.0; Maria;4.93;15.0;Bern;Suiza
Vacaciones en Biel con terraza y fitness;Alojamiento entero;107.0; Serge;4.78;9.0;Bern;Suiza
Acogedor apartamento de 3 dormitorios en la estación de Burglauenen;Alojamiento entero;257.0; Dany;4.87;118.0;Bern;Suiza
Estudio con cocina y ducha privada;Habitación;36.0;Mikael;4.85;13.0;Bern;Suiza
Acogedor y cómodo apartamento en naturaleza tranquila;Alojamiento entero;71.0; Mike + Co;4.98;288.0;Bern;Suiza
Vista alpina con balcón cerca de Interlaken;Alojamiento entero;193.0; Salome;4.94;17.0;Bern;Suiza
Precioso estudio con vistas al Niesen;Alojamiento entero;78.0; Thomas;4.94;50.0;Bern;Suiza
Estudio muy cómodo;Alojamiento entero;73.0; Manuela;4.96;99.0;Bern;Suiza
Apartamento de 1 dormitorio con chimenea y terraza privada;Alojamiento entero;81.0; Danja-Maria;5.0;0.0;Bern;Suiza
Cabaña suiza con vistas increíbles a los Alpes y al lago Thun;Alojamiento entero;213.0; SwissHut Chalets & Apartments;4.92;50.0;Bern;Suiza
Alojamiento con encanto en el puesto de la policía anterior;Alojamiento entero;96.0; Susanne Und Ryan;4.96;78.0;Bern;Suiza
Ferienwohnung im Prenzlauer Berg;Alojamiento entero;200.0; Fatos;5.0;27.0;Berlin;Alemania
Apartamento para 5 personas en el centro;Alojamiento entero;127.0; Svitlana;5.0;4.0;Berlin;Alemania
